Recipe,URL,Ingredients,Type
Summer water,https://food52.com/recipes/13294-summer-water, milliliters apricot juice liter water,Meat dishes
Water Toast,http://www.saveur.com/article/Recipes/Water-Toast, slices dry toast tsp. salt cup boiling water tbsp. butter,Sauces and sides
Grapefruit Sparkling Water,https://www.epicurious.com/recipes/food/views/grapefruit-sparkling-water,"  cups sparkling water ""-long, ""-wide grapefruit peels teaspoons fresh grapefruit juice",Meat dishes
Coconut-Water Gelatin,https://www.marthastewart.com/1004175/coconut-water-gelatin," cups coconut water, dividedTwo -ounce packets gelatin vanilla bean, seeds scraped cup sugar",Chicken dishes
Rose Water Marshmallows recipes,http://www.bonappetit.com/recipe/rose-water-marshmallows,"vegetable oil spray cup powdered sugar, divided, plus more for dusting ounce unflavored powdered gelatin large egg whites cups sugar teaspoon rose water or orange-flower water drop red or orange food coloring optional",Meat dishes
Rose Water Syrup,http://www.cookstr.com/recipes/rose-water-syrup, cup cold water cups sugar tablespoon plus  teaspoons rose water tablespoon fresh lemon juice,Meat dishes
Spa Water,https://www.foodnetwork.com/recipes/giada-de-laurentiis/spa-water-2495690, pound strawberries cup blueberries cups cold water,Meat dishes
Rose Water Marshmallows,http://www.foodandwine.com/recipes/rose-water-marshmallows," cup cornstarch cup confectioners' sugar tablespoons unflavored gelatin  cups water cup granulated sugar cup light corn syrup large egg whites, at room temperature tablespoons rose water teaspoons pure vanilla extract",Meat dishes
Citrusy Water,http://www.myrecipes.com/recipe/citrusy-water, parsley sprigs lemon slices basil sprigs orange slices mint sprigs grapefruit slices liter of water,Meat dishes
Glow Water,https://www.delish.com/cooking/recipe-ideas/recipes/a54179/glow-water-recipe/," cans seltzer water cucumber, cut into "" rounds sprigs mint lemon, thinly sliced peach, slicedGinger, skin removed and sliced into rounds cinnamon stick strawberries, halved lime, thinly sliced",Meat dishes
Roasted Cashews & Curry Leaves,http://www.sfgate.com/food/recipes/detail.html?rid=16582&sorig=qs, cup raw cashews tablespoon ghee Indian clarified butter or homemade clarified butter dozen curry leavesKosher or sea salt to taste,Chicken dishes
Mustard & Curry Leaves Chicken,http://honestcooking.com/mustard-and-curry-leaves-chicken/," gm chicken, boneless and cut into cubes cup sliced mixed peppers- greed, red & yellowCup broccoli florets teaspoon mustard seeds- fresh curry leaves teaspoon chopped garlicTeaspoon sambhar powder indian lentil powder teaspoon ground pepper tablespoon olive oilSalt to taste",Chicken dishes
Fried anchovies with curry leaves,https://food52.com/recipes/65093-fried-anchovies-with-curry-leaves," grams anchovies, gutted and cleaned cloves of garlic, minced teaspoon minced ginger teaspoon chilli powder teaspoon turmeric powder  tablespoons semolina tablespoon rice flour sprigs curry leavesCoconut oil, for deep-fryingSalt, to tasteLemon wedges",Chicken dishes
"Chicken Stir Fry with Potato, Cashews, and Curry Leaves Recipe",http://www.seriouseats.com/recipes/2013/05/chicken-stir-fry-potato-cashew-curry-recipe.html,"  pounds waxy potatoes, peeled, cut into -inch cubes tablespoons canola oilKosher salt teaspoons mustard seeds  teaspoons cumin seeds, coarse ground in spice grinder large green chilies, sliced thin teaspoon ground turmeric medium onion, sliced into -inch thick wedges cup loosely packed curry leaves tablespoon unsalted butter cup toasted cashews ounces boneless, skinless, chicken breast, cut into -inch cubes",Chicken dishes
Southern Indian Vegetable Curry with Curry Leaves,http://www.cookstr.com/recipes/southern-indian-vegetable-curry-with-curry-leaves," tablespoons olive oil teaspoon mustard seeds fresh green chillies, deseeded and chopped bunch of curry leaves onions, peeled and shredded teaspoon ground coriander pinch of ground cumin seeds teaspoon garam masala teaspoon turmeric teaspoon chilli powder tomatoes, chopped sweet potatoes, peeled and cubed potatoes, peeled and cubed aubergine eggplant, cubed cup coconut milk handful of haricots verts green beans handful of peas handful of okra, slicedSea salt and freshly ground black pepper",Chicken dishes
Spicy cauliflower pilau,http://www.bbcgoodfood.com/recipes/spicy-cauliflower-pilau, cauliflower florets not the stalk cloves cinnamon stick tsp turmeric curry leaves,Chicken dishes
Spiced Fennel and Cabbage with Tomato and Curry Leaves,https://food52.com/recipes/21405-spiced-fennel-and-cabbage-with-tomato-and-curry-leaves," large fennel bulb, stalks and fronds removed large spanish onion cups shredded green cabbageolive oil teaspoons black mustard seeds teaspoon cumin seeds teaspoon fennel seedslarge pinch red pepper flakes- fresh curry leaves tablespoon minced ginger root fat cloves garlic, minced teaspoon turmeric powder teaspoons ground coriandersalt- cherry tomatoes, halvedfresh lemon juice",Chicken dishes
"Halibut With Mustard Seeds, Curry Leaves, and Tomatoes",http://www.thedailymeal.com/recipes/halibut-mustard-seeds-curry-leaves-and-tomatoes-recipe,"  Pounds wild halibut fillet with skin, cut into -ounce portions knob of unsalted butterSea salt, to taste  Teaspoon black mustard seeds cardamom pods, seeds extracted Teaspoon fennel seeds Tablespoon ghee or unsalted butter small yellow onions, peeled and finely sliced-inch knob of fresh ginger, peeled and finely sliced into matchsticks fresh curry leaves to  red chilies, seeded, and finely sliced into rounds Tablespoons tamarind water see note Ounces ripe, flavorful tomatoesLime wedges, to serve",Chicken dishes
Curry-Leaf Mojito,https://www.menshealth.com/recipes/curry-leaf-mojito, fresh curry leaves thin lemon wedge tsp sugar cup citrus vodka,Chicken dishes
Stir Fried Ivy Gourd,http://honestcooking.com/stir-fried-ivy-gourd-recipe/, gm ivy gourdstindora- red chilies whole- cloves of garlic cup crushed peanuts cup toasted coconut shredded tsp black mustard seeds tsp red chili powder tsp coriander powder tsp cumin powder tsp turmeric powder tbsp tamarind chutney tbsp oil peanutsesameSalt to taste tsp dried curry leaves crushedFew curry leaves handful,Sauces and sides
Sugared Bay Leaves,https://www.marthastewart.com/1142598/sugared-bay-leaves, fresh bay leaves egg whiteFine sanding sugar,Chicken dishes
Glazed Pearl Onions in Port with Bay Leaves,https://www.epicurious.com/recipes/food/views/glazed-pearl-onions-in-port-with-bay-leaves-350473," -ounce bags unpeeled pearl onions, root ends trimmed but left intact cups ruby Port  cups low-salt chicken broth bay leaves preferably fresh tablespoons dark brown sugar teaspoon balsamic vinegar",Chicken dishes
Patricia Wells' Asparagus Braised With Fresh Rosemary And Bay Leaves,http://food52.com/recipes/27988-patricia-wells-asparagus-braised-with-fresh-rosemary-and-bay-leaves," plump spears about  pounds fresh white or green asparagus tablespoon extra-virgin olive oil teaspoon coarse sea saltSeveral sprigs fresh rosemarySeveral bay leaves, preferably fresh",Chicken dishes
Hasselback Butternut Squash with Bay Leaves recipes,http://www.bonappetit.com/recipe/hasselback-butternut-squash-with-bay-leaves," large butternut squash or – small honeynut squash about  pounds total tablespoon olive oilkosher saltfreshly ground pepper Fresno chile, thinly sliced cup pure maple syrup, preferably grade  tablespoons unsalted butter tablespoons apple cider vinegar– dried bay leaves",Chicken dishes
Roasted Whole Sea Bass With Bay Leaves,http://www.foodandwine.com/recipes/roasted-whole-sea-bass-with-bay-leaves," tablespoon coarse sea salt tablespoons unsalted butter, cut into  -inch pieces bay leaves, preferably freshOne   - to -pound sea bass or red snapper, cleaned",Chicken dishes
Grilled Summer Peppers with Fresh Bay Leaves,http://www.cookstr.com/recipes/grilled-summer-peppers-with-fresh-bay-leaves, large red bell peppers large yellow bell peppers tablespoons extra virgin olive oil fresh bay leaves or basil leavesSalt and freshly ground pepper to taste,Chicken dishes
Roasted Baby Red Potatoes With Lemon And Bay Leaves recipes,http://foodandstyle.com/2010/03/19/roasted-baby-red-potatoes-with-lemon-and-bay-leaves/,  lbs  kg baby Red Bliss potatoes – unpeeled and cut in ″ slices large garlic cloves – unpeeled lemon – cut crosswise in ″ slices fresh or dried bay leaves tablespoons extra virgin olive oil teaspoon sea salt or to tasteground black pepper,Chicken dishes
"Roast Potatoes, Onion, Fennel And Bay Leaves",http://www.thewednesdaychef.com/the_wednesday_chef/2008/09/nancy-silverton.html, tsp Coarse Sea Salt tsp Freshly ground black pepper pounds New Potatoes  Bay Leaves  pounds small sweet onions  head fennel,Chicken dishes
Fennel sausages braised with lemony potatoes and bay leaves,http://www.bbc.co.uk/food/recipes/fennelsausagesbraise_86774,"1lb luganega sausages available from specialist italian or continental grocers, or other nice meaty pork chipolatas tbsp extra virgin olive oil small onion, halved and thinly sliced garlic cloves, thinly sliced1½lb small waxy potatoes, peeled and each cut into quarters lemon, pared zest and juice only fresh bay leaves tbsp fresh parsley, choppedSalt and freshly ground black pepper120ml4fl oz water",Chicken dishes
Olives with Fresh Bay Leaves recipes,http://www.marthastewart.com/319542/olives-with-fresh-bay-leaves, cups manzanilla olives cups Cerignola olives cups Arbequina olivesfresh bay leaves,Chicken dishes
Green Beans,http://www.marthastewart.com/338543/green-beans," pound green beans, trimmed tablespoon butter, optionalCoarse salt and ground pepper",Salads
Calico Beans,https://food52.com/recipes/12674-calico-beans," pound bacon, cut into \\\"" pieces pound ground beef cup onion, chopped tablespoons cider vinegar tablespoon yellow mustard cup ketchup teaspoon salt cup brown sugar, tightly packed. ounces can lima beans, drained ounces can pork \\' beans ounces can red kidney beans",Salads
Gigante Beans,https://www.epicurious.com/recipes/food/views/gigante-beans-364594," pound dried gigante beans, dried lima beans, or dried Great Northern beans cup olive oil cups chopped onions about  medium garlic cloves, minced cups or more low-salt chicken broth -ounce can whole plum tomatoes in juice preferably San Marzano, tomatoes chopped, juice reserved cup red wine vinegar cup ouzo Greek anise-flavored liqueur tablespoon dried oregano preferably Greek teaspoon dried crushed red pepper cup chopped fresh dillIngredient info: Dried gigante beans are large cream-colored beans from the mediterranean. They're available at some specialty foods stores and online at titanfood.com. Ouzo is available at some liquor stores.",Salads
Grilled Beans,http://www.foodandwine.com/recipes/grilled-beans," pounds mixed green beans and yellow wax beans  tablespoons olive oilSalt and freshly ground pepper medium red onion, thinly sliced",Salads
"Fresh Kernel Beans, Lima Beans, and Peas",http://www.cookstr.com/recipes/fresh-kernel-beans-lima-beans-and-peas," pounds fresh kernel beans, lima beans, or peas cups waterSalt and freshly ground black pepper to tasteButter optional",Chicken dishes
Slow-Cooked Beans,http://www.eatingwell.com/recipes/slow_cooked_beans.html," cups boiling water teaspoon salt bay leaf cloves garlic, minced sprigs fresh thyme, or  teaspoon dried pound dried beans, such as cannellini beans, black beans, kidney beans, black-eyed peas, great northern beans or pinto beans onion, chopped",Salads
Green Beans,http://www.marthastewart.com/340234/green-beans,"Coarse salt and freshly ground black pepper pound green beans, trimmed tablespoons butter",Salads
Betsy's Baked Beans,https://food52.com/recipes/33610-betsy-s-baked-beans," finely chopped onions slices thick smoked bacon cup dark brown sugar teaspoon dry mustard teaspoon salt cup apple cider vinegar 16oz can EACH lima beans, black beans, pinto beans, and dk red kidney beans drained and  16oz can pork and beans",Meat dishes
Dilly Beans,https://www.epicurious.com/recipes/food/views/dilly-beans-366717," cup coarse sea salt pounds small, tender green beans or yellow wax beans, trimmed fresh dill sprigs small garlic cloves, smashed small dried red chiles such as cayenne or chile de árbol tablespoon dill seeds teaspoon black peppercorns, crushed",Salads
Rum Baked Beans,http://www.myrecipes.com/recipe/rum-baked-beans," thick-cut bacon slices, chopped cup chopped sweet onion garlic cloves, minced -oz. can baked beans with bacon and brown sugar -oz. can navy beans, drained and rinsed -oz. can dark red kidney beans, drained and rinsed -oz. can light red kidney beans, drained and rinsed -oz. can black beans, drained and rinsed cup packed dark brown sugar cup ketchup cup gold rum cup apple cider vinegar",Meat dishes
Asparagus pâté,http://www.jamieoliver.com/recipes/vegetables-recipes/asparagus-p-t-/, bunches of asparagus tablespoons clotted cream,Chicken dishes
Grilled Asparagus,https://www.epicurious.com/recipes/food/views/grilled-asparagus-4095,"  pounds asparagus, trimmedNonstick olive oil spray",Chicken dishes
Asparagus Frittata,https://food52.com/recipes/508-asparagus-frittata, bunch asparagus eggs cup grated parmesan cheese,Chicken dishes
Skillet Asparagus,http://www.saveur.com/article/Recipes/Skillet-Asparagus, lbs. asparagus tbsp. unsalted butterSalt and freshly ground black pepper,Chicken dishes
Grilled Asparagus,http://simplyrecipes.com/recipes/grilled_asparagus/," pound asparagus estimate  pound per person, thick spears- Tbsp Olive oilKosher salt",Chicken dishes
Roasted Asparagus with Parmesan,https://www.marthastewart.com/1155393/roasted-asparagus-parmesan, bunches   pounds asparagus Asparagus Fresh $. thru  tablespoon olive oilCoarse salt and ground pepper cup finely grated Parmesan cheese,Chicken dishes
Broiled Asparagus,https://www.realsimple.com/food-recipes/browse-all-recipes/broiled-asparagus," pound asparagus, trimmed tablespoons olive oilKosher salt and black pepper",Chicken dishes
Roasted Asparagus,http://orangette.blogspot.com/2005/04/love-letter-with-animosity-and.html," bunch green asparagus, preferably on the fat sideOlive oilSea salt",Chicken dishes
Roasted Asparagus,http://www.eatingwell.com/recipe/248586/roasted-asparagus/," pounds asparagus, trimmed tablespoon extra-virgin olive oilSalt & freshly ground pepper, to taste",Chicken dishes
Asparagus,https://www.foodnetwork.com/recipes/rachael-ray/asparagus-recipe-2200911,"Salt pounds asparagus, trimmed lemon, halvedFreshly ground black pepper",Chicken dishes
Grilled Mushrooms,http://www.saveur.com/article/Recipes/Grilled-Mushrooms," garlic cloves, peeled and choppedLeaves from  bunch parsley, chopped cup fruity olive oilSalt lb. oyster mushrooms, cleaned and trimmed lb. white mushrooms, stemmed",Chicken dishes
Quick Sauteed Mushrooms,https://www.marthastewart.com/1154022/quick-sauteed-mushrooms, ounces shitake mushrooms ounces cremini mushrooms teaspoons olive oil minced shallotcoarse saltground pepper,Chicken dishes
Sauteed Mushrooms,https://www.epicurious.com/recipes/food/views/sauteed-mushrooms-102741," tablespoon fresh lemon juice tablespoon soy sauce teaspoon sugar tablespoons olive oil ounces mushrooms, quartered tablespoon unsalted butter garlic clove, chopped",Chicken dishes
Stuffed mushrooms,https://www.bbcgoodfood.com/recipes/stuffed-mushrooms,"- medium-large portobello mushrooms unsmoked bacon lardons shallot, finely chopped garlic clove, finely chopped tbsp dried breadcrumbs tsp dried sage medium cheddar, grated",Chicken dishes
Potted Mushrooms,http://www.food52.com/recipes/7983_potted_mushrooms," tablespoons  stick unsalted butter, separated ounces button mushrooms, separated ounces baby portobella mushrooms, separated cup thinly sliced shallots, separated cup thinly sliced leeks white part only, separated teaspoons fresh thyme leaves, separatedPinch saltBlack pepper tablespoons dry sherry, separated tablespoon lemon juice",Chicken dishes
Crispy Roasted Mushrooms,https://www.realsimple.com/food-recipes/browse-all-recipes/roasted-mushrooms," pound mixed mushrooms such as oyster, cremini, and shiitake, roughly chopped pound button mushrooms, halved or quartered if large cup olive oil fresh thyme sprigs, plus more for garnish optionalkosher salt and black pepper",Chicken dishes
Baked Garlic Mushrooms,http://www.donnahay.com.au/recipes/mains/vegetables/baked-garlic-mushrooms,"  field mushrooms  Swiss brown mushrooms  unsalted butter, chopped cup 125ml dry sherry cloves garlic sprigs thymesea salt and cracked black pepper",Chicken dishes
Grilled Portabella Mushrooms,http://www.elanaspantry.com/grilled-portabella-mushrooms/, large Portabella Mushrooms tbsp Olive Oil tsp Celtic Sea Salt,Chicken dishes
Sautéed Mushrooms,http://www.myrecipes.com/recipe/sauteed-mushrooms," -oz. package stemmed and sliced fresh shiitake mushrooms  tablespoons olive oil large portobello mushrooms about  oz., stemmed, cleaned, and chopped -oz. package stemmed and sliced oyster mushrooms* tablespoons butter tablespoons minced shallots garlic cloves, chopped teaspoon kosher salt teaspoon freshly ground black pepper teaspoons sliced fresh chives",Chicken dishes
Braised Mushrooms,http://www.delish.com/cooking/recipe-ideas/recipes/a34688/braised-mushrooms-recipe-ghk0212/, tbsp. butter shallot large sage leaves . wine tsp. salt tsp. Pepper lb. mushrooms,Chicken dishes
Fuchsia Dunlop's Chili Oil,http://www.seriouseats.com/recipes/2013/02/fuchsia-dunlops-chilli-oil.html," cups plus  tablespoons  ml cooking oil ounces  SIchuanese or Korean ground chillies teaspoon sesame seedsSmall piece of ginger, unpeeled, crushed",Chicken dishes
Noisette Potatoes,http://www.bbcgoodfood.com/recipes/1108/," large potatoes , peeled and washedknob of buttercooking oil",Salads
Scrambled Eggs with Tomatoes.,https://food52.com/recipes/5902-scrambled-eggs-with-tomatoes, eggs tomatoes tablespoons cooking oilSome pinches salt,Meat dishes
Roasted-Garlic Bread recipes,http://www.marthastewart.com/326802/roasted-garlic-bread, cup Roasted Garlic tablespoon Roasted Garlic cooking oilcoarse saltground pepper loaf rustic French or Italian bread,Meat dishes
"Cabbage, Bean and Crispy Cale Soup",http://honestcooking.com/cabbage-bean-kale-soup/," medium green cabbage, shredded leek, white part only, sliced- cups vegetable stock .5oz can butter beans, drained whole kale leaves fresh bay leavesor  dried tsp cooking oilor butter slices dark rye sourdough, cut into 1cm squares tbsp cooking oilor butter",Sauces and sides
Stir-Fried Vegetables with Salted Duck Egg Yolks Recipe,http://www.seriouseats.com/recipes/2011/07/stir-fried-vegetables-with-salted-duck-egg-yolks-recipe.html," zucchini, about  ounces cob of corn, decobbed teaspoon sea salt salted duck egg yolks, cooked tablespoons cooking oil",Chicken dishes
Pistachio Salmon Nuggets,http://www.eatingwell.com/recipe/265092/pistachio-salmon-nuggets/," pound fresh or frozen skinless salmon fillets, about -inch thick tablespoons water tablespoons reduced-sodium soy sauce tablespoon grated fresh ginger teaspoons toasted sesame oil or cooking oil tablespoon cooking oil tablespoon finely chopped pistachio nuts",Salads
Demon Pork,https://food52.com/recipes/76103-demon-pork, dashes Pepper dashes Red Peppers pound Pork Chop teaspoons Cooking oil,Chicken dishes
Lemongrass Ginger Grilled Shrimp,http://steamykitchen.com/2470-lemongrass-ginger-grilled-shrimp.html," stalk lemongrass, outer leaves discarded, bottom  inches finely minced or grated inch piece ginger, finely minced or grated or  garlic cloves, finely minced stalk green onion, finely minced tbsp cooking oil tsp SaltFreshly ground black pepper lb shell-on shrimpCooking oil, for brushing on grill gratesLime wedges, for serving",Salads
Garlic Parmesan Fries with Ease recipes,http://www.thenaptimechef.com/2014/10/garlic-parmesan-fries-with-ease/," garlic cloves, smashed tablespoon cooking oil tablespoons finely grated Parmesan cheese",Sauces and sides
Couscous with Fresh Cilantro and Lemon Juice recipes,http://www.bonappetit.com/recipe/couscous-with-fresh-cilantro-and-lemon-juice," tablespoons olive oil garlic cloves, minced teaspoon turmeric  cups water teaspoon finely grated lemon peel teaspoon coarse kosher salt  cups plain couscous cup chopped fresh cilantro tablespoons fresh lemon juice",Desserts and other sweets
Beet Greens with Lemon Juice and Extra Virgin Olive Oil,http://www.cookstr.com/recipes/beet-greens-with-lemon-juice-and-extra-virgin-olive-oil," bunch beet greens  to  ounces tablespoons extra virgin olive oilKosher salt clove garlic, minced tablespoon fresh lemon juiceFreshly ground black pepper",Desserts and other sweets
Seared Scallops with Lemon Juice and Sage,https://www.menshealth.com/recipes/seared-scallops-with-lemon-juice-and-sage, tsp canola oil oz sea scallops* tsp lemon juice tsp ground sage  cups cubed roasted acorn squash cups kale sauteed in  tsp olive oil,Desserts and other sweets
Lemon Icey,https://www.marthastewart.com/868405/lemon-icey, cup lemon juice from - lemons cup simple syrup,Desserts and other sweets
Lemon Sorbet,http://www.bbcgoodfood.com/recipes/4583/,". caster sugar lemon , unwaxed, zested ml lemon juice - lemons",Desserts and other sweets
"Mrs. Larkin's Lemon Posset, Revisited",https://food52.com/recipes/12054-mrs-larkin-s-lemon-posset-revisited, cups heavy cream cups organic cane sugar or white sugar six-inch sprig fresh rosemary tablespoons meyer lemon juice or any fresh organic lemon juice,Desserts and other sweets
"Chicken Roasted With Sour Cream, Lemon Juice And Mango Chutney",http://www.amateurgourmet.com/2004/10/working_the_hes.html,  boneless skinless chicken breast cup Hellman' mayonnaise cup sour cream tbsp Major Grey mango chutney tsp curry powder  Juice of Meyer lemon or regular lemonfreshly ground black pepper,Chicken dishes
Lemons Preserved in Salt and Lemon Juice,http://www.cookstr.com/recipes/lemons-preserved-in-salt-and-lemon-juice," lemons tablespoons sea saltJuice of  additional lemons, or more to taste",Desserts and other sweets
Lemon-Dill Cauliflower & Broccoli,http://www.eatingwell.com/recipe/267511/lemon-dill-cauliflower-broccoli/," cups cauliflower florets cups broccoli florets tablespoon olive oil teaspoons lemon juice teaspoons snipped fresh dill weed or  teaspoon dried dill weed teaspoon lemon juice teaspoons lemon juice small clove garlic, minced teaspoon salt teaspoon dry mustard teaspoon black pepperFresh dill sprigs optional",Chicken dishes
Lemon-Lime Glaze,http://www.myrecipes.com/recipe/lemon-lime-glaze, cups powdered sugar teaspoons lemon zest  tablespoons fresh lemon juice tablespoon fresh lime juice tablespoon fresh lemon juice optional,Chicken dishes
"Broccoli Rabe, Goat Cheese, And Lemon Zest Pizza",http://www.saveur.com/article/Recipes/Broccoli-Rabe-Goat-Cheese-and-Lemon-Zest-Pizza," cup broccoli rabe, cooked and chopped oz. crumbled goat cheese tbsp. grated lemon zest",Desserts and other sweets
Raspberry Lemon Zest Muffins,https://food52.com/recipes/13083-raspberry-lemon-zest-muffins," cup ground flaxseed cups rice flour teaspoons baking powder teaspoon cinnamon teaspoon sea salt cup butter, room temperature cup brown sugar cup turbinado sugar cup milk or plain almond milk cup yogurt, plain eggs, lightly beatenLemon zest from  &  lemons cup raspberries, frozen",Desserts and other sweets
Salmon with Green Beans and Lemon Zest recipes,http://www.marthastewart.com/315695/salmon-with-green-beans-and-lemon-zest," skinless salmon fillets,  ounces each pound green beans, trimmed wide strips lemon zest from  lemons teaspoons capers, rinsed and drained chopped if largecoarse saltground pepper teaspoons extra-virgin olive oil",Salads
Buttermilk Cookies With Lemon Zest,http://orangette.blogspot.com/2008/04/because-of-cookies.html,"  cup unbleached all-purpose flour tsp grated lemon zest tsp baking soda tsp salt tbsp unsalted butter, at room temperature cup granulated sugar  large egg tsp vanilla extract cup well-shaken buttermilk cup confectioners sugar, sifted  tbsp well-shaken buttermilk tsp vanilla extract",Desserts and other sweets
Roasted Broccoli with Lemon Zest and Parmesan Cheese,http://www.thedailymeal.com/roasted-broccoli-lemon-zest-and-parmesan-cheese-recipe," clove garlic minced tablespoons lemon zest cup olive oil cup Parmesan cheese, divided pound fresh broccoli floretsSalt and pepper, to taste lemon",Desserts and other sweets
Sugared Lemon Zest,https://www.marthastewart.com/355860/sugared-lemon-zest, lemons cup granulated sugar cups fine sanding sugar or substitute granulated sugar,Desserts and other sweets
Orzo and Peas with Mint and Lemon Zest,http://www.sippitysup.com/recipe/orzo-and-peas-with-mint-and-lemon-zest/," pound dried orzo pasta lemons, juice and zest shallots, minced tablespoon butter pound bag of frozen peas",Desserts and other sweets
Orzo with Parsley and Lemon Zest,https://www.foodnetwork.com/recipes/rachael-ray/orzo-with-parsley-and-lemon-zest-recipe-1941488," pound orzoCoarse salt tablespoon extra-virgin olive oil, eyeball it large lemons, zestedBlack pepper cup finely chopped flat leaf parsley,  couple of handfuls",Desserts and other sweets
Lemon Zest Pasta,http://www.delish.com/cooking/recipe-ideas/recipes/a19039/lemon-zest-pasta-recipe-opr0412/, lb. spaghetti . basil leaves tsp. lemon thyme leaves tbsp. oregano leaves tbsp. olive oil tbsp. lemon juice tbsp. butter spread like Bestlife Buttery Spread tsp. truffle salt or kosher salt tsp. ground black pepper . grated Parmesan cheeseZest of  lemon,Desserts and other sweets
Pumpkin glory with lemon zest cheesecake,https://food52.com/recipes/7619-pumpkin-glory-with-lemon-zest-cheesecake," cups packed finely grated pumpkin, angel hair style cup sugar tablespoons honey ounces water ounce fresh lemon juiceZest of one lemonPinch of saltCinnamon stick drops almond essence, optionalOptional splash of amaretto or brandyHandful of blanched almond slivers, optional cups gingersnap cookie crumbs   love anna' ginersnaps for this tablespoons cane sugar cup melted butter ounces cream cheese, softened cups organic cane sugarPinch of salt eggs, beaten tablespoons flour tablespoons lemon zest teaspoon vanilla extractSprinkle of nutmeg",Desserts and other sweets
Olive-Oil Brownies,http://www.travelerslunchbox.com/journal/2007/7/31/brownies-alla-nona.html," gms finest quality bittersweet chocolate , chopped ml fruity extra virgin olive oil gms all-purposeplain flour tsp sea salt  large eggs, at room temperature gms superfinecaster sugar tsp vanilla extract gms lightly toasted hazelnuts, choppedwhipped cream, for serving",Chicken dishes
Olive Oil Muffins,http://smittenkitchen.com/2008/11/olive-oil-muffins/,"  cups all-purpose flour teaspoons baking powder teaspoon salt cup sugar large eggs teaspoons orange zest teaspoons lemon zest tablespoons balsamic vinegar tablespoons whole milk cup extra-virgin olive oil cup sliced almonds, toastedPowdered sugar, for sifting",Sauces and sides
